"","Name","Tags","Original Packet Source Zone","Original Packet Destination Zone","Original Packet Destination Interface","Original Packet Source Address","Original Packet Destination Address","Original Packet Service","Translated Packet Source Translation","Translated Packet Destination Translation","Rule Usage Hit Count","Rule Usage Last Hit","Rule Usage First Hit","Modified","Created"
"1","[Disabled]  FORTIANALYZER","[Disabled]  LAN-MPLS","[Disabled]  LAN","[Disabled]  MPLS","[Disabled]  any","[Disabled]  FORTIANALYSER","[Disabled]  any","[Disabled]  any","[Disabled]  dynamic-ip-and-port;[Disabled]  ethernet1/21;[Disabled]  10.110.110.242/29","[Disabled] none","32926","2025-05-13 12:35:45","2025-04-16 18:46:26","2025-07-09 12:53:03","2025-04-15 20:02:22"
"2","[Disabled]  NDR PAM TO DC PAM","[Disabled] none","[Disabled]  LAN","[Disabled]  MPLS","[Disabled]  any","[Disabled]  any","[Disabled]  any","[Disabled]  any","[Disabled]  persistent-dynamic-ip-and-port;[Disabled]  ethernet1/21;[Disabled]  10.110.110.242/29","[Disabled] none","0","-","-","2025-05-16 18:27:08","2025-04-15 20:02:22"
"3","LAN-WAN","LAN-WAN","LAN","WAN","ethernet1/1","any","any","any","dynamic-ip-and-port;10.11.160.7","none","78865877","2026-06-06 12:42:52","2025-04-16 18:26:25","2025-04-17 17:49:27","2025-04-09 01:42:25"
