	Name	Tags	Type	Source Zone	Source Address	Source User	Source Device	Destination Zone	Destination Address	Destination Device	Application	Service	Action	Profile	Options	Rule Usage Hit Count	Rule Usage Last Hit	Rule Usage First Hit	Rule Usage Apps Seen	Days With No New Apps	Modified	Created	Disbaled
24	DC NDR ACCES -FATPIPIPE	MPLS-LAN	universal	MPLS	172.29.19.102/32;192.168.11.191/32;DC_BKL_SUBNET;DC_CP_MGMT;DC_CPLAN_SUBNET;DC_DB_MGMT;DC_DMZ_SUBNET;DC_MGMT_SUBNET;DC_PRODUCTION_Subnet;DC_UAT_SUBNET;DC_UPDATE_MGMT;DC_USER;DC_USER_SUBNET	any	any	LAN	10.11.250.0/24;172.26.2.0/24;192.168.110.145/32;NDR_BKP_SUBNET;NDR_CP_MGMT;NDR_CPLAN_SUBNET;NDR_DB_SUBNET;NDR_DMZ_SUBNET;NDR_FORTIGATE;NDR_FW_SUBNET;NDR_MGMT_SUBNET;NDR_NEWAPP_SUBNET;NDR_PRODUCTION_SUBNET;NDR_SIL_APP_SERVER;NDR_UAT_SUBNET;NDR_UPDATE_MGMT	any	any	any	Allow	none	Traffic log sent at session end	391027165	06-06-2026 12:42	16-04-2025 18:21	131	45	11-02-2026 16:46	15-04-2025 20:02	
25	NDR PAM TO DC PAM	LAN-MPLS	universal	LAN	NDR_PAM360_2;NDR_PAM_2	any	any	MPLS	DC PAM360	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	22376	03-02-2026 12:34	16-04-2025 18:26	3	324	13-05-2025 12:32	15-04-2025 20:02	
26	COMMUNICATION_TO_EPC	LAN-MPLS	universal	LAN	DC_MGMT_SUBNET;NDR_ADC;NDR_ATM_SERVER;NDR_BKP_SUBNET;NDR_CHECKPOINT_GW;NDR_CP_MGMT;NDR_CPLAN_SUBNET;NDR_DB_SUBNET;NDR_DMZ_SUBNET;NDR_FORTIGATE;NDR_FW_SUBNET;NDR_IMPS;NDR_NEWAPP_SUBNET;NDR_PAM_2;NDR_PRODUCTION_SUBNET;NDR_PRODUCTION_Subnet;NDR_SIL_APP_SERVER;NDR_SIL_ATM_SERVER;NDR_SIL_IMPS_SERVER;NDR_UAT_SUBNET;NDR_UPDATE_MGMT;NDR_USERSUBNET	any	any	MPLS	192.168.15.144/32;NEW_EPC	any	any	any	Allow	Profile Group: undefined	Traffic log sent at session end	2819716	06-06-2026 12:42	16-04-2025 18:46	5	351	04-09-2025 16:44	15-04-2025 20:02	
27	Abhi PC to PAM 2	none	universal	MPLS	192.168.0.87/32	any	any	LAN	NDR_PAM_2	any	any	application-default	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	19-11-2025 09:25	19-11-2025 09:25	
28	SOC	none	universal	LAN	10.11.240.1/32;10.11.240.95/32	any	any	MPLS	172.29.19.102/32	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	229801	06-06-2026 12:41	17-07-2025 16:40	1	324	17-07-2025 16:24	23-06-2025 16:37	
29	NTP_ACCESS	LAN-WAN	universal	LAN	NDR_NTP	any	any	WAN	any	any	ntp;ntp-base;ntp-non-rfc	any	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	15-04-2025 20:02	15-04-2025 20:02	
30	NDR TO DC ACCES  -FATPIPE	LAN-MPLS	universal	LAN	NDR_BKP_SUBNET;NDR_CP_MGMT;NDR_CPLAN_SUBNET;NDR_DB_SUBNET;NDR_DMZ_SUBNET;NDR_FORTIGATE;NDR_FW_SUBNET;NDR_MGMT_SUBNET;NDR_NEWAPP_SUBNET;NDR_PRODUCTION_Subnet;NDR_SIL_APP_SERVER;NDR_UAT_SUBNET;NDR_UPDATE_MGMT	any	any	MPLS	DC_BKL_SUBNET;DC_CP_MGMT;DC_CPLAN_SUBNET;DC_DB_MGMT;DC_DMZ_SUBNET;DC_MGMT_SUBNET;DC_PRODUCTION_Subnet;DC_UAT_SUBNET;DC_UPDATE_MGMT;DC_USER;DC_USER_SUBNET;NDR_FW_SUBNET	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	41720219	06-06-2026 12:42	16-04-2025 18:26	30	187	29-04-2025 13:46	15-04-2025 20:02	
31	NDR DNS  ACCESS-FATPIPE	LAN-MPLS	universal	LAN	DC_MGMT_SUBNET;DC_USER_SUBNET;NDR_CHECKPOINT_GW;NDR_CP_MGMT;NDR_FORTIGATE;NDR_PRODUCTION_Subnet;NDR_UPDATE_MGMT	any	any	MPLS	DC_AD;DC_ADC	any	dns;dns-base;dns-non-rfc;dns-over-https;dns-over-tls;icmp;ping	any	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	13-05-2025 12:36	15-04-2025 20:02	
32	NDR  TO ALL ACCES -FATPIPE	LAN-MPLS	universal	LAN	DC_PRODUCTION_Subnet;NDR_BKP_SUBNET;NDR_CP_MGMT;NDR_CPLAN_SUBNET;NDR_DB_SUBNET;NDR_DMZ_SUBNET;NDR_FORTIGATE;NDR_FW_SUBNET;NDR_MGMT_SUBNET;NDR_NEWAPP_SUBNET;NDR_SIL_APP_SERVER;NDR_UAT_SUBNET;NDR_UPDATE_MGMT;NDR_USERSUBNET	any	any	MPLS	DC_BKL_SUBNET;DC_DB_MGMT;DC_MGMT_SUBNET;DC_PRODUCTION_Subnet;DC_UPDATE_MGMT;DC_USER_SUBNET;MANAGE_ENGINE;OPMANAGER	any	any	any	Allow	Profile Group: RDCC	Traffic log sent at session end	780620	06-06-2026 12:42	16-04-2025 18:26	17	220	29-04-2025 13:47	15-04-2025 20:02	
33	LAN ACCES TO DC SUBNET	LAN-MPLS	universal	LAN	NDR_BKP_SUBNET;NDR_CP_MGMT;NDR_CPLAN_SUBNET;NDR_DB_SUBNET;NDR_DMZ_SUBNET;NDR_FW_SUBNET;NDR_MGMT_SUBNET;NDR_NEWAPP_SUBNET;NDR_PRODUCTION_SUBNET;NDR_UAT_SUBNET;NDR_UPDATE_MGMT	any	any	MPLS	DC_BKL_SUBNET;DC_CPLAN_SUBNET;DC_USER;DC_USER_SUBNET;DC_WIRELESS_SUBNET;NDR_CP_MGMT;NDR_DB_SUBNET;NDR_DMZ_SUBNET;NDR_FW_SUBNET;NDR_MGMT_SUBNET;NDR_NEWAPP_SUBNET;NDR_UAT_SUBNET;OLD_SERVER;UPDATE_MGMT	any	any	application-default	Allow	Profile Group: RDCC	Traffic log sent at session end	0	-	-	-	-	15-04-2025 20:02	15-04-2025 20:02	
